Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62524868,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Lindesnäs,1429372,6691066,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78949681,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant och dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Ulf Swenson, Mats Nordhag, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78960176,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad, , , ,,,, ,,"Fredriksbergt, sydvästra delen",1420330,6670180,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant i samhället,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
78978737,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad, , , ,,,, ,,Håen,1424087,6674932,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
5529738,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,1,,,,,,,,,Fagersta,1498351,6654390,250,0,Västmanland,Fagersta,Västmanland,Fagersta,,2009-06-17,,2009-06-17,,Inventering i järrnvägsmiljöer norra,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
5544630,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Engelsbergs bruk mot Snyten,1511475,6650375,500,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Lars Carlsson,Lars Carlsson,"Sten Mu Yu Widhe, Lars Carlsson",,,2
5544638,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Svartvik 2 km NO Ängelsberg,1512658,6651375,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs brukningsväg,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Lise-Lotte Norin, Anne Höglund, Einar Marklund",,,2
5544886,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,"Snyten, norra änden vid båtplats",1513593,6654999,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-12,,2011-06-12,,,,False,False,,False,,"Båtplats, sjöstrand och inom 10 meter från stranden",,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Britt Halling, Lars Carlsson, Bengt Stridh",,,2
5529573,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
5528387,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Framnäs,1510990,6649120,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2009-05-24,,2009-05-24,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Ralf Lundmark,Ralf Lundmark,Ralf Lundmark,,,2
