Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62524905,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,,,,,,,,Lindesnäs,1429283,6691381,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78950572,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant och dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Ulf Swenson, Mats Nordhag, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78960772,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad, , , ,,,, ,,"Fredriksberg, nordvästra delen",1420140,6670220,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,gårdsmiljö,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
78979174,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad, , , ,,,, ,,Håen,1424087,6674932,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
79162997,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad, , , ,,,, ,,Fredriksberg,1420490,6669870,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,villamiljö,,,,,,,,,,,, ,,,,,,,Carl-Axel Andersson,Carl-Axel Andersson,"Lars Fröberg, Magnus J Magnusson, Anders Erixon, Carl-Axel Andersson",,Dalafloran inventeringsläger 2019,1
80728036,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,,,,,,,,"Finnmarsleden, Äskmyren",1427470,6681150,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1
4077231,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
4085923,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,fullt utvecklade blad,,,,,,,"Hästkärret, 0,2 km OSO",1514837,6653647,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs ej brukad grusväg i granskog,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Britt Halling, Lasse Gustavsson, Bengt Stridh",,,2
4085924,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,,,,,,,,Engelsbergs bruk mot Snyten,1511475,6650375,500,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Lars Carlsson,Lars Carlsson,"Sten Mu Yu Widhe, Lars Carlsson",,,2
4085930,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,,,,,,,,Svartvik 2 km NO Ängelsberg,1512666,6651180,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,längs skogsväg,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Anne Höglund, Lise-Lotte Norin, Einar Marklund",,,2
