Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62524926,100601,Ovaliderad,,Vanlig höstfibbla,Scorzoneroides autumnalis var. autumnalis,,noterad,,,,,,,,,Lindesnäs,1429372,6691066,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
62525226,100601,Ovaliderad,,Vanlig höstfibbla,Scorzoneroides autumnalis var. autumnalis,,noterad,,,,,,,,,"Bysjön, Klackviken",1428210,6695710,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [947],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78950689,100600,Ovaliderad,,Höstfibbla,Scorzoneroides autumnalis,(L.) Moench,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant, dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Mats Nordhag, Ulf Swenson, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78960400,100600,Ovaliderad,,Höstfibbla,Scorzoneroides autumnalis,(L.) Moench,noterad, , , ,,,, ,,"Fredriksbergt, sydvästra delen",1420330,6670180,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant i samhället,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
78978809,100600,Ovaliderad,,Höstfibbla,Scorzoneroides autumnalis,(L.) Moench,noterad, , , ,,,, ,,Håen,1424087,6674932,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
80728016,100601,Ovaliderad,,Vanlig höstfibbla,Scorzoneroides autumnalis var. autumnalis,,noterad,,,,,,,,,"Finnmarsleden, Äskmyren",1427330,6681050,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,bäck/åfåra,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1
97086939,100600,Ovaliderad,,Höstfibbla,Scorzoneroides autumnalis,(L.) Moench,noterad, , , ,,,, ,,Lindesnäs,1430217,6690483,50,0,Dalarna,Vansbro,Dalarna,Nås,,2021-07-23,,2021-07-23,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Håkan Lernefalk,Håkan Lernefalk,Håkan Lernefalk,,,1
2627515,100600,Ovaliderad,,Höstfibbla,Scorzoneroides autumnalis,(L.) Moench,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
2631359,100600,Ovaliderad,,Höstfibbla,Scorzoneroides autumnalis,(L.) Moench,noterad,,,,,,,,,"Hästbäck, 1 km SV om",1514764,6652754,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs skogsbilväg (kalkgrus?),,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Anne Höglund, Lise-Lotte Norin, Einar Marklund",,,2
2631361,100600,Ovaliderad,,Höstfibbla,Scorzoneroides autumnalis,(L.) Moench,noterad,,fullt utvecklade blad,,,,,,,"Snyten, norra änden vid båtplats",1513593,6654999,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-12,,2011-06-12,,,,False,False,,False,,"Båtplats, sjöstrand och inom 10 meter från stranden",,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Britt Halling, Lars Carlsson, Bengt Stridh",,,2
