Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62524872,90777,Ovaliderad,,Säterfryle,Luzula multiflora subsp. frigida,(Buchenau) V. I. Krecz.,noterad,,,,,,,,,Lindesnäs,1429303,6691238,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
62524938,90778,Ovaliderad,,Vanlig ängsfryle,Luzula multiflora subsp. multiflora,,noterad,,,,,,,,,Lindesnäs,1429308,6691253,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78950864,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant, dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Mats Nordhag, Ulf Swenson, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78960729,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad, , , ,,,, ,,"Fredriksberg, sydvästra delen",1420340,6670230,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,strandkant,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
78961209,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad, , , ,,,, ,,Älgsjökullen SO,1419152,6669312,25,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,Frisk gräsmark,,,,,,,,,,,,, ,,,,,,,Staffan Jansson,Staffan Jansson,"Lena Stigsdotter, Staffan Jansson",,Dalafloran inventeringsläger 2019,1
78979252,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad, , , ,,,, ,,Håen,1424076,6674875,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,betesmark,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
80728065,90778,Ovaliderad,,Vanlig ängsfryle,Luzula multiflora subsp. multiflora,,noterad,,,,,,,,,"Finnmarsleden, Åsändsmyren",1427980,6681240,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1
97087034,90777,Ovaliderad,,Säterfryle,Luzula multiflora subsp. frigida,(Buchenau) V. I. Krecz.,noterad, , , ,,,, ,,Lindesnäs,1430217,6690483,50,0,Dalarna,Vansbro,Dalarna,Nås,,2021-07-23,,2021-07-23,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Håkan Lernefalk,Håkan Lernefalk,Håkan Lernefalk,,,1
5060636,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
5062852,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad,,,,,,,,,"Broarna, ost järnvägsspåret",1513210,6655073,25,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Kulturmark längs järnväg och enkel bilväg,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Lasse Gustavsson, Britt Halling, Bengt Stridh",,,2
5062853,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad,,,,,,,,,Engelsbergs bruk mot Snyten,1511475,6650375,500,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Lars Carlsson,Lars Carlsson,"Sten Mu Yu Widhe, Lars Carlsson",,,2
6221813,90778,Godkänd baserat på observatörens uppgifter,,Vanlig ängsfryle,Luzula multiflora subsp. multiflora,,noterad,,,,,,,,,VÅTMARK 500 M SV HÄSTBÄCK 1.5 KM S KARBENNINGS KYRKA (10),1515163,6652885,500,0,Västmanland,Norberg,Västmanland,Karbenning,,1986-12-29,,1986-12-29,,U12G0D03:1:0/LUZU MUL/enstaka(3)//-1/Fältkontrollerat,,False,False,,False,,Komplex av våta marktyper/Fuktäng,,,,,,,,,,,, ,,,,,,,, Våtmarksinventeringen (vmi),Tommy Lennartsson,,Våtmarksinventeringen U-län (grundinventeringen),2
6782862,90776,Godkänd baserat på observatörens uppgifter,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,1,plantor/tuvor,överblommad, ,,,,,,Getingo,1502400,6651570,5,0,Västmanland,Fagersta,Västmanland,Fagersta,,2013-06-06,,2013-06-06,,,,False,False,,False,Sandstrand vid sötvatten,en bit upp i strandhak,,,,Morän,,näringsfattigt,,,,,, ,,,,,,,Sten Mu Yu Widhe,Sten Mu Yu Widhe,"Birgitta Widhe, Sten Mu Yu Widhe",,,2
17331663,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad,,,,,,,,,Svartvik,1512871,6651625,200,0,Västmanland,Fagersta,Västmanland,Västervåla,,1988-07-14,,1988-07-14,,"Källa: Ängs- och hagmarksinventering Fagersta kommun (Lars-Thure Nordin). Länsstyrelsen i Västmanlands län 1992, Nr 5:3. [Mittpunktskoordinat för hagmarksobjekt]",,False,False,,False,,Öppen äng,,,,,,,,,,,, ,,,,,,,Botaniska Föreningen i Västmanlands län,Einar Marklund,,,Västmanlands flora – länsstyrelserapporter,2
17335332,90776,Ovaliderad,,Ängsfryle,Luzula multiflora,(Ehrh.) Lej.,noterad,,,,,,,,,Lövåsen,1519859,6657480,200,0,Västmanland,Norberg,Västmanland,Karbenning,,1988-07-11,,1988-07-11,,"Källa: Ängs- och hagmarksinventering Norberg kommun (Lars-Thure Nordin). Länsstyrelsen i Västmanlands län 1992, Nr 5:8. [Mittpunktskoordinat för hagmarksobjekt]",,False,False,,False,,Öppen hage samt annan träd- och buskbärande hagmark.,,,,,,,,,,,, ,,,,,,,Botaniska Föreningen i Västmanlands län,Einar Marklund,,,Västmanlands flora – länsstyrelserapporter,2
