Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
17139500,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,Fröstsjöberget,1343906,6920966,250,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,2012-09-17,,2012-09-17,,,,False,False,,False,,Skogklädd bergbrant med rika klippor,,,,,,,,,,,, ,,,,,,,Henrik Weibull,Henrik Weibull,Henrik Weibull,,,1
56701123,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,Ruta 17C4i,1342555,6922555,2500,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,1965-01-01,,1994-12-31,,,,False,False,,False,,Kalfjäll,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,1
62272110,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,Foskvallen,1349850,6861050,100,0,Dalarna,Älvdalen,Dalarna,Särna,,1995-01-01,,1995-12-31,,Dalafloran [548]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62277145,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,Fjätervåla & stugbyn,1352500,6872500,2500,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-04,,1994-08-04,,Dalafloran [596]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62277333,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,N om Fjätbodarna längs Lill-Fjätan,1351500,6885500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [597]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62285460,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,1.5 km S Fjätbodarna,1351500,6883500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [646]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
79249316,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad, , , ,,,, ,,Lossen S om,1341339,6923663,10,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,2019-07-17,,2019-07-17,,,,False,False, ,False,,vägren,,,,,,,,,,,, ,,,,,,,Carl-Axel Andersson,Carl-Axel Andersson,"Magnus J Magnusson, Leif Runeson, Carl-Axel Andersson",,,1
4023245,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,FONNKÖLEN 57 KM SV LÖVNÄSVALLEN,1377736,6855061,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1991-07-19,,1991-07-19,,Z16D0F02:3:1/MELA PRA/enstaka(3)/inte dominerande(0)/-1,,False,False,,False,,Svagt välvd mosse/Mosse av nordlig typ,,,,,,,,,,,, ,,,,,,,, Våtmarksinventeringen (vmi),Kristina Palmgren,,Våtmarksinventeringen Z-län (grundinventeringen),2
56701318,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,Ruta 16D1j,1397555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56701320,98224,Ovaliderad,,Ängskovall,Melampyrum pratense,L.,noterad,,,,,,,,,Ruta 16D1i,1392555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
