Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62525245,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,"Bysjön, Klackviken",1428210,6695710,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [947],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78944834,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad, ,blomning, ,,,,observerad,,"Vattrangi, block",1416696,6663429,25,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-14,,2019-07-14,,,,False,False, ,False,,Skogsbryn,,,,,,,,,,,, ,,,,,,,Ulf Swenson,Ulf Swenson,"Mats Nordhag, Johanne Maad, Ulf Swenson",,Dalafloran inventeringsläger 2019,1
78950026,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant och dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Ulf Swenson, Mats Nordhag, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78961024,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad, , , ,,,, ,,Fredriksbergs industriområde,1419890,6670191,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,fabriksområde,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
80728001,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,"Finnmarsleden, Äskmyren",1427330,6681050,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,bäck/åfåra,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1
3949790,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,blomning,,,,,,,"Hästkärret, 0,2 km OSO",1514837,6653647,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs ej brukad grusväg i granskog,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Lasse Gustavsson, Britt Halling, Bengt Stridh",,,2
3949791,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Engelsbergs bruk mot Snyten,1511475,6650375,500,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Lars Carlsson,Lars Carlsson,"Sten Mu Yu Widhe, Lars Carlsson",,,2
3949794,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Svartvik 2 km NO Ängelsberg,1512666,6651180,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs brukningsväg,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Anne Höglund, Lise-Lotte Norin, Einar Marklund",,,2
3949800,98228,Godkänd baserat på observatörens uppgifter,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,"Ängelsberg, 2 km ONO om",1513489,6650992,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-12,,2011-06-12,,,,False,False,,False,,Längs skogsbilväg,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Lasse Gustavsson, Anne Höglund, Lise-Lotte Norin, Einar Marklund",,,2
72215709,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,"Ombenning, skogsparti 170 m S järnvägsviadukten",1508095,6651343,25,0,Västmanland,Fagersta,Västmanland,Västervåla,,2018-07-09,,2018-07-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Anders Jacobson,Anders Jacobson,Anders Jacobson,,,2
