Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
3943916,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Sörvattnet,1351579,6895737,50,0,Jämtland,Härjedalen,Härjedalen,Linsell,,2008-08-04,,2008-08-04,,,,False,False,,False,,bäckstrand,,,,,,,,,,,, ,,,,,,,Crister Albinsson,Crister Albinsson,"Stina Eriksson, Crister Albinsson",,,1
16993250,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,blomning,,,,,,,"Högvålen, V om",1350602,6908981,50,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,2012-06-26,,2012-06-26,,,,False,False,,False,,skogsbryn,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,1
17139501,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Fröstsjöberget,1343906,6920966,250,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,2012-09-17,,2012-09-17,,,,False,False,,False,,Skogklädd bergbrant med rika klippor,,,,,,,,,,,, ,,,,,,,Henrik Weibull,Henrik Weibull,Henrik Weibull,,,1
56701605,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 17C4i,1342555,6922555,2500,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,1965-01-01,,1994-12-31,,,,False,False,,False,,Kalfjäll,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,1
62277146,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Fjätervåla & stugbyn,1352500,6872500,2500,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-04,,1994-08-04,,Dalafloran [596]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62285461,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,1.5 km S Fjätbodarna,1351500,6883500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [646]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
86711601,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad, ,blomning, ,,,, ,,Fjätervålen,1352710,6869327,10,0,Dalarna,Älvdalen,Dalarna,Idre,,2020-06-27,,2020-06-27,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Göran Frisk,Göran Frisk,"Kristina Nygren Frisk, Göran Frisk",,,1
56701767,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 16D1j,1397555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56701768,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 16D1i,1392555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56701769,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 16D1h,1387555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56701770,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 16D1g,1382555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56701832,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 16E0c,1412555,6852555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56701841,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 15E9c,1412555,6847555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56701848,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 15E7c,1412555,6837555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
62280007,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,"Fjätan , V om Kryptjärn",1365500,6844500,1000,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [603]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
62280182,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Hornbergets O-brant samt myrar nedom till Kimbäcken ( krysslista ),1367500,6842500,2500,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [604]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
62473932,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ulvsjön,1414150,6832750,500,0,Dalarna,Mora,Dalarna,Mora,,1996-01-01,,1997-12-31,,Dalafloran [372]   Naturskyddsförenings i nv. av Ansjovarden-Stopån 1986-87   [Björnramen],,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Bengt Oldhammer,,Dalaflorans databas,2
56701679,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 17D1j,1397555,6907555,2500,0,Jämtland,Härjedalen,Härjedalen,Linsell,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,3
56701791,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad,,,,,,,,,Ruta 16E7d,1417555,6887555,2500,0,Jämtland,Härjedalen,Härjedalen,Sveg,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,3
86602891,98228,Ovaliderad,,Skogskovall,Melampyrum sylvaticum,L.,noterad, ,blomning, ,,,, ,,"Ortholmen, N om",1394757,6915776,50,0,Jämtland,Härjedalen,Härjedalen,Vemdalen,,2020-07-01,,2020-07-01,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Ulf Persson,Ulf Persson,Ulf Persson,,,3
