Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62525259,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Bysjön, Klackviken",1428210,6695710,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [947],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78944839,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad, ,fullt utvecklade blad, ,,,,observerad,,"Vattrangi, block",1416696,6663429,25,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-14,,2019-07-14,,,,False,False, ,False,,Dike,,,,,,,,,,,, ,,,,,,,Ulf Swenson,Ulf Swenson,"Mats Nordhag, Johanne Maad, Ulf Swenson",,Dalafloran inventeringsläger 2019,1
78950884,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant, dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Mats Nordhag, Ulf Swenson, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78960548,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad, , , ,,,, ,,"Fredriksberg, sydvästra delen",1420340,6670230,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,strandkant,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
78961215,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad, , , ,,,, ,,Älgsjökullen SO,1419152,6669312,25,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,Frisk gräsmark,,,,,,,,,,,,, ,,,,,,,Staffan Jansson,Staffan Jansson,"Lena Stigsdotter, Staffan Jansson",,Dalafloran inventeringsläger 2019,1
78978859,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad, , , ,,,, ,,Håen,1424087,6674932,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
80728033,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Finnmarsleden, Äskmyren",1427470,6681150,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1
5691530,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
5701957,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Hästkärret, 0,2 km OSO",1514837,6653647,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs ej brukad grusväg i granskog,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Lasse Gustavsson, Britt Halling, Bengt Stridh",,,2
5701958,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Hästkärret, 150 m OSO",1514789,6653622,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Granskog med liten bäck och fuktstråk,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Lasse Gustavsson, Britt Halling, Bengt Stridh",,,2
5701964,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Svartvik 2 km NO Ängelsberg,1512666,6651180,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs brukningsväg,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Anne Höglund, Lise-Lotte Norin, Einar Marklund",,,2
5701968,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Broarna, intill järnvägsspåret",1513150,6654900,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-12,,2011-06-12,,,,False,False,,False,,Längs järnväg och grusväg,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Lars Carlsson, Britt Halling, Bengt Stridh",,,2
5703353,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Getingo,1502400,6651570,100,0,Västmanland,Fagersta,Västmanland,Fagersta,,2011-07-13,,2011-07-13,,,,False,False,,False,,insjösandstrand,,,,,,,,,,,, ,,,,,,,Sten Mu Yu Widhe,Sten Mu Yu Widhe,Sten Mu Yu Widhe,,,2
5972421,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,KÄRR 2 KM VNV OMBENNING 6 KM OSO FAGERSTA (48),1506224,6651711,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,1986-12-29,,1986-12-29,,U12G0B08:1:0/RUBU SAX/enstaka(3)//-1/Fältkontrollerat,,False,False,,False,,Soligent kärr/Soligent kärr,,,,,,,,,,,, ,,,,,,,, Våtmarksinventeringen (vmi),Tommy Lennartsson,,Våtmarksinventeringen U-län (grundinventeringen),2
53807094,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,fullt utvecklade blad,,,,,,,"Hästkärret, SSO 0,5 km",1514986,6653257,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2015-06-05,,2015-06-05,,,,False,False,,False,,"Fjolårets brandområde, hygge",,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,Bengt Stridh,,,2
55336037,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad, , , ,,,,,,Folkarbo,1522829,6665039,50,0,Dalarna,Avesta,Dalarna,Folkärna,,2015-05-08,,2015-05-08,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,Urban Gunnarsson,,,2
61588794,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Lilla Klingbo, avtag till",1519857,6657347,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2016-07-13,,2016-07-13,,,,False,False,,False,,skogsbryn,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,2
62268049,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Avesta Döda fallen,1521617,6669682,100,0,Dalarna,Avesta,Dalarna,Avesta,,2015-07-12,,2015-07-12,,Dalafloran [980]   Dabs inv.,,False,False,,False,,skogsmark längs promenadväg,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Janet Jandér, Urban Gunnarsson, Inge Palmqvist",,,2
62351401,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Krylbo jvgstn.,1523050,6667150,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-01-01,,2009-12-31,,Dalafloran [113],,False,False,,False,,järnvägsområde,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Anna Knöppel,,Dalaflorans databas,2
72215705,94045,Godkänd baserat på observatörens uppgifter,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Ombenning, skogsparti 170 m S järnvägsviadukten",1508095,6651343,25,0,Västmanland,Fagersta,Västmanland,Västervåla,,2018-07-09,,2018-07-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Anders Jacobson,Anders Jacobson,Anders Jacobson,,,2
73185053,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,fullt utvecklade blad,,,,,,,"Hökmora, NV Järnvägsövergången",1519441,6660079,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2018-09-16,,2018-09-16,,,,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,2
61667237,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad, , , ,,,,,,"Alster, frödigleden",1375203,6589110,248,0,Värmland,Karlstad,Värmland,Östra Fågelvik,,2016-10-06,,2016-10-06,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Lutz Eckstein,Lutz Eckstein,"Stina Eriksson, Lutz Eckstein",,,3
62366259,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Atlasruta 14E 5h  Orsa,1437500,6777500,2500,0,Dalarna,Orsa,Dalarna,Orsa,,1986-01-01,,1986-12-31,,Dalafloran [463],,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Jan Edelsjö,,Dalaflorans databas,4
62482002,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,1 km V om Bergkarlås,1435780,6769230,100,0,Dalarna,Mora,Dalarna,Mora,,2010-01-01,,2010-12-31,,Dalafloran [300],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Sven-Erik Johansson,,Dalaflorans databas,4
98108575,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Orsa,1436623,6777029,25,0,Dalarna,Orsa,Dalarna,Orsa,,2021-07-01,,2021-07-01,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Per Toräng,Per Toräng,Per Toräng,,Adb inventering slåtterängar 2020-2021,4
