Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
56678495,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Ruta 17C4i,1342555,6922555,2500,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,1965-01-01,,1994-12-31,,,,False,False,,False,,Kalfjäll,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,1
62277291,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,N om Fjätbodarna längs Lill-Fjätan,1351500,6885500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [597]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62285509,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,1.5 km S Fjätbodarna,1351500,6883500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [646]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
56678645,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Ruta 16D1g,1382555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56678646,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Ruta 16D1h,1387555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56678648,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Ruta 16D1j,1397555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56678720,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Ruta 16E0c,1412555,6852555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56678733,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Ruta 15E7c,1412555,6837555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
62279967,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,"Fjätan , V om Kryptjärn",1365500,6844500,1000,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [603]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
62280146,94045,Ovaliderad,,Stenbär,Rubus saxatilis,L.,noterad,,,,,,,,,Hornbergets O-brant samt myrar nedom till Kimbäcken ( krysslista ),1367500,6842500,2500,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [604]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
