Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
16993242,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,blomning,,,,,,,"Högvålen, V om",1350602,6908981,50,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,2012-06-26,,2012-06-26,,,,False,False,,False,,dikeskant,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,1
56685433,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Ruta 17C4i,1342555,6922555,2500,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,1965-01-01,,1994-12-31,,,,False,False,,False,,Kalfjäll,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,1
62272091,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Foskvallen,1349850,6861050,100,0,Dalarna,Älvdalen,Dalarna,Särna,,1995-01-01,,1995-12-31,,Dalafloran [548]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62277302,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,N om Fjätbodarna längs Lill-Fjätan,1351500,6885500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [597]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62285533,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,1.5 km S Fjätbodarna,1351500,6883500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [646]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
79249035,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad, , , ,,,, ,,Lossen S om,1341339,6923663,10,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,2019-07-17,,2019-07-17,,,,False,False, ,False,,vägren,,,,,,,,,,,, ,,,,,,,Carl-Axel Andersson,Carl-Axel Andersson,"Magnus J Magnusson, Leif Runeson, Carl-Axel Andersson",,,1
56685634,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Ruta 16D1g,1382555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56685635,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Ruta 16D1h,1387555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56685637,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Ruta 16D1i,1392555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56685639,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Ruta 16D1j,1397555,6857555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56685745,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Ruta 16E0c,1412555,6852555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
56685758,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Ruta 15E7c,1412555,6837555,2500,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
62279971,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,"Fjätan , V om Kryptjärn",1365500,6844500,1000,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [603]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
62280154,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Hornbergets O-brant samt myrar nedom till Kimbäcken ( krysslista ),1367500,6842500,2500,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [604]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
