Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62524925,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,noterad,,,,,,,,,Lindesnäs,1429372,6691066,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
62525227,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,noterad,,,,,,,,,"Bysjön, Klackviken",1428210,6695710,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [947],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78949437,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant och dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Ulf Swenson, Mats Nordhag, Johanne Maad",,Dalafloran inventeringsläger 2019,1
78960366,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,noterad, , , ,,,, ,,"Fredriksbergt, sydvästra delen",1420330,6670180,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant i samhället,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
78979234,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,noterad, , , ,,,, ,,Håen,1424076,6674875,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,betesmark,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
80728061,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,noterad,,,,,,,,,"Finnmarsleden, Äskmyren",1427470,6681150,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1
97086974,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,noterad, , , ,,,, ,,Lindesnäs,1430217,6690483,50,0,Dalarna,Vansbro,Dalarna,Nås,,2021-07-23,,2021-07-23,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Håkan Lernefalk,Håkan Lernefalk,Håkan Lernefalk,,,1
3576477,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
3576482,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,1,,,,,,,,,Fagersta,1498351,6654390,250,0,Västmanland,Fagersta,Västmanland,Fagersta,,2009-06-17,,2009-06-17,,Inventering i järrnvägsmiljöer norra,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
3576483,93473,Ovaliderad,,Vitklöver,Trifolium repens,L.,1,,,,,,,,,Fagersta,1498351,6654390,250,0,Västmanland,Fagersta,Västmanland,Fagersta,,2009-06-17,,2009-06-17,,Inventering i järrnvägsmiljöer södra,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
