Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62524865,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad,,,,,,,,,Lindesnäs,1429372,6691066,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78961155,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad, , , ,,,, ,,Älgsjökullen SO,1419152,6669312,25,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,Frisk gräsmark,,,,,,,,,,,,, ,,,,,,,Staffan Jansson,Staffan Jansson,"Lena Stigsdotter, Staffan Jansson",,Dalafloran inventeringsläger 2019,1
78964777,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad, , , ,,,, ,,Älgsjöhöjden,1419140,6668388,150,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,Frisk gräsmark,,,,,,,,,,,,, ,,,,,,,Staffan Jansson,Staffan Jansson,"Lena Stigsdotter, Staffan Jansson",,Dalafloran inventeringsläger 2019,1
78980431,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad, , , ,,,, ,,Fred,1420532,6670101,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,tomtmark och park,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1
3708992,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,1,,,,,,,,,Fagersta,1498351,6654390,250,0,Västmanland,Fagersta,Västmanland,Fagersta,,2009-06-17,,2009-06-17,,Inventering i järrnvägsmiljöer södra,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
3717191,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad,,blomknopp,,,,,,,"Hästkärret, 0,2 km OSO",1514837,6653647,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs ej brukad grusväg i granskog,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Lasse Gustavsson, Britt Halling, Bengt Stridh",,,2
3717192,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad,,,,,,,,,Engelsbergs bruk mot Snyten,1511475,6650375,500,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Lars Carlsson,Lars Carlsson,"Sten Mu Yu Widhe, Lars Carlsson",,,2
3717196,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad,,,,,,,,,Svartvik 2 km NO Ängelsberg,1512666,6651180,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,längs skogsväg,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Lise-Lotte Norin, Anne Höglund, Einar Marklund",,,2
3717197,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad,,,,,,,,,"Snyten, norra änden vid båtplats",1513593,6654999,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-12,,2011-06-12,,,,False,False,,False,,"Båtplats, sjöstrand och inom 10 meter från stranden",,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Britt Halling, Lars Carlsson, Bengt Stridh",,,2
3717198,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad,,,,,,,,,"Broarna, intill järnvägsspåret",1513150,6654900,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-12,,2011-06-12,,,,False,False,,False,,Längs järnväg och grusväg,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Britt Halling, Lars Carlsson, Bengt Stridh",,,2
3720771,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,30,,,,,,,,,Avesta uppföljning S nr 2,1523119,6667276,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-03,,2012-07-03,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
3720772,93548,Ovaliderad,,Häckvicker,Vicia sepium,L.,noterad,,,,,,,,,Avesta uppföljning S nr 1,1523147,6667259,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-03,,2012-07-03,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2
