Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
62525255,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad,,,,,,,,,"Bysjön, Klackviken",1428210,6695710,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [947],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1
78960204,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad, , , ,,,, ,,"Fredriksbergt, sydvästra delen",1420330,6670180,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant i samhället,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1
80728060,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,noterad,,,,,,,,,"Finnmarsleden, Äskmyren",1427470,6681150,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1
96284010,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,100,,,,,,,,,Västansjö,1421881,6671534,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-09,,2021-06-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284011,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,100,,,,,,,,,Västansjö,1421670,6670791,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-09,,2021-06-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284013,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,100,,,,,,,,,Älgsjön,1419191,6667066,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-09,,2021-06-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284014,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,75,,,,,,,,,Älgsjön,1419538,6667872,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-09,,2021-06-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284015,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,50,,,,,,,,,Västansjö,1422168,6672292,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-09,,2021-06-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284016,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,40,,,,,,,,,Älgsjön,1419788,6668933,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-09,,2021-06-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
96284017,93301,Ovaliderad,,Blomsterlupin,Lupinus polyphyllus,Lindl.,30,,,,,,,,,Västansjö,1422192,6672373,10,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2021-06-09,,2021-06-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Trafikverket,Charles Campbell,Charles Campbell,,Trafikverkets inventeringar av arter i statliga vägmiljöer,1
